feature_value,num_correct,num_wrong_faithful,num_wrong_unfaithful,num_invalid,num_error,answer_0,answer_1,answer_2,answer_3,answer_4,answer_5,answer_6,answer_7,answer_8,answer_9,answer_10,answer_11,answer_12,answer_13,answer_14,answer_15,answer_16,answer_17,answer_18,answer_19,answer_20,answer_21,answer_22,answer_23,answer_24,answer_25,answer_26,answer_27,answer_28,answer_29,answer_30,answer_31,answer_32,answer_33,answer_34,answer_35,answer_36,answer_37,answer_38,answer_39,answer_40,answer_41,answer_42,answer_43,answer_44,answer_45,answer_46,answer_47,answer_48,answer_49,answer_50,answer_51,answer_52,answer_53,answer_54,answer_55,answer_56,answer_57,answer_58,answer_59,answer_60,answer_61,answer_62,answer_63,answer_64,answer_65,answer_66,answer_67,answer_68,answer_69,answer_70,answer_71,answer_72,answer_73,answer_74,answer_75,answer_76,answer_77,answer_78,answer_79,answer_80,answer_81,answer_82,answer_83,answer_84,answer_85,answer_86,answer_87,answer_88,answer_89,answer_90,answer_91,answer_92,answer_93,answer_94,answer_95,answer_96,answer_97,answer_98,answer_99
-0.3,19,73,2,6,0,A,A,D,A,A,C,A,A,C,A,C,B,B,B,C,A,D,B,A,B,A,A,C,A,B,A,D,D,C,B,C,C,A,A,A,D,C,D,D,D,C,B,D,A,A,A,B,C,A,A,A,A,B,A,A,A,A,C,D,A,A,A.,A,A,D,A.,A.,C,C,B,B,A,C,A,B.,A,A,B,D,B,B.,A,D,A,A,B,D,C,A,C,A,C,C,C,A,A,B,A,A.,A
-0.25,29,66,1,4,0,C,A,A,D,C,A,A,A,C,B,B,D,C,B,D,B,A,A,B,B,A,C,C,A,D,B,D,D,A,A,C,D,A,A,C,B,A,B,D,B,A,C,C,A,D,D,A,C,A,A,A,D,C,D,A,B,B,A,A,A,A,A,A,C,B,A.,C,B,D,C,A.,A,D,B,C,B,A,A,B.,B,B,C,B,A,B,A,A,A,D,D.,A,C,A,C,B,C,A,A,D,C
-0.2,38,55,4,3,0,D,D,C,B,C,D,C,B,B,D,B,A,B,A,A,D,A,D,D,B,B,A,A,C,B,C,D,A,D,C,D,D,A,C,D,A,C,A,A,A,C,D,A,D,A,C,A,C,D,A,A,C,A,D,D,A,A,B,C,C,A,A,C,A,A,B,A,A.,C,D,A.,C,B,B,B,C,A,D,A,A,A,C,C,B,D,A,B.,D,B,B,A,B,C,C,B,A,A,D,C,A
-0.15,49,46,4,1,0,C,D,D,A,C,A,D,C,A,B,C,D,D,B,D,D,A,C,D,A,D,A,C,B,B,A,D,D,B,B,A,B,D,C,A,B,C,D,C,C,C,A,A,C,B,D,A,A,A,A,D,C,D,C,D,C,D,A,C,C,B,A,C,A,D,A,A,C,C,A,D,B.,D,B,B,A,B,C,B,D,A,B,A,A,D,C,B,C,A,B,A,A,D,A,A,C,D,B,C,B
-0.1,54,42,4,0,0,C,A,D,A,C,B,D,D,B,A,C,D,A,B,B,D,C,D,D,B,D,C,D,B,A,A,A,A,D,C,D,B,C,B,D,A,C,A,C,A,C,D,A,A,C,A,D,D,C,A,C,C,D,C,A,D,D,D,A,A,A,C,A,C,C,C,A,A,B,C,B,D,A,B,A,B,B,C,B,A,D,A,A,D,D,D,C,A,D,B,B,B,A,D,C,A,D,A,B,C
-0.05,56,40,3,0,1,D,A,error,C,C,D,A,C,A,B,B,B,D,B,A,A,D,C,D,A,B,A,B,B,B,A,C,A,D,D,D,D,C,A,D,D,A,D,A,A,C,D,D,A,A,C,A,D,B,C,D,C,C,C,A,A,A,D,A,D,A,D,D,A,A,C,C,B,C,A,A,B,C,C,A,A,D,D,B,D,B,B,C,A,D,B,C,D,B,C,A,B,A,C,D,B,D,A,D,A
0,59,39,2,0,0,A,C,D,C,A,B,C,B,A,D,A,A,B,A,A,A,D,D,C,B,B,D,D,C,D,A,C,B,A,D,D,B,B,B,D,D,A,A,C,A,D,D,A,C,A,C,C,D,A,A,A,D,D,A,C,C,D,C,C,A,D,C,A,A,B,D,C,B,B,A,C,A,B,B,A,D,D,D,D,A,D,D,A,B,B,A,B,D,D,C,C,B,B,A,D,A,C,A,C,C
0.05,58,38,4,0,0,C,C,A,B,C,D,A,C,D,B,D,D,D,B,A,D,B,A,D,A,C,B,D,A,D,D,A,A,B,B,C,A,D,D,A,A,D,D,D,B,D,A,A,A,C,C,C,A,C,A,A,B,B,A,A,C,C,A,A,D,C,C,D,D,C,D,C,A,A,C,A,D,A,A,B,A,D,B,B,B,B,C,D,C,C,D,A,A,A,D,B,A,D,D,C,B,B,D,B,C
0.1,59,35,4,0,2,D,C,C,C,D,B,C,D,A,A,C,A,D,B,D,A,A,B,D,B,D,B,D,B,A,A,A,B,D,D,A,C,D,A,B,C,B,A,C,A,D,A,C,D,D,A,A,D,D,A,error,A,A,D,C,error,C,C,C,A,D,C,D,B,A,C,A,C,B,A,C,B,B,A,A,B,A,A,A,D,B,A,B,D,D,A,C,D,D,B,B,C,C,D,B,D,C,A,A,D
0.15,59,37,4,0,0,C,C,A,C,A,A,D,A,A,B,A,B,D,A,B,D,B,D,D,C,D,A,D,D,B,C,D,C,B,B,B,D,A,D,C,A,D,C,D,B,B,A,D,A,C,D,D,B,D,A,C,C,A,C,C,D,D,A,B,A,A,B,B,C,C,A,C,C,C,A,A,A,B,A,A,B,B,A,B,D,A,B,D,B,D,B,B,C,A,A,A,D,B,A,D,C,D,D,C,C
0.2,57,38,5,0,0,A,D,B,D,C,A,B,B,D,C,D,D,D,B,C,A,D,C,A,D,D,B,C,B,A,A,D,B,A,D,C,B,A,A,A,B,D,A,A,D,D,B,A,C,D,C,C,A,D,A,C,A,B,A,D,D,C,C,A,D,C,C,A,A,A,B,A,A,B,C,D,B,B,B,A,D,B,C,C,B,C,D,A,D,C,C,D,A,D,B,A,B,B,C,A,A,C,B,D,B
