feature_value,num_correct,num_wrong_faithful,num_wrong_unfaithful,num_invalid,num_error,answer_0,answer_1,answer_2,answer_3,answer_4,answer_5,answer_6,answer_7,answer_8,answer_9,answer_10,answer_11,answer_12,answer_13,answer_14,answer_15,answer_16,answer_17,answer_18,answer_19,answer_20,answer_21,answer_22,answer_23,answer_24,answer_25,answer_26,answer_27,answer_28,answer_29,answer_30,answer_31,answer_32,answer_33,answer_34,answer_35,answer_36,answer_37,answer_38,answer_39,answer_40,answer_41,answer_42,answer_43,answer_44,answer_45,answer_46,answer_47,answer_48,answer_49,answer_50,answer_51,answer_52,answer_53,answer_54,answer_55,answer_56,answer_57,answer_58,answer_59,answer_60,answer_61,answer_62,answer_63,answer_64,answer_65,answer_66,answer_67,answer_68,answer_69,answer_70,answer_71,answer_72,answer_73,answer_74,answer_75,answer_76,answer_77,answer_78,answer_79,answer_80,answer_81,answer_82,answer_83,answer_84,answer_85,answer_86,answer_87,answer_88,answer_89,answer_90,answer_91,answer_92,answer_93,answer_94,answer_95,answer_96,answer_97,answer_98,answer_99
-0.3,26,54,4,16,0,B,B,D.,D,D,A.,C,D,A,A.,A,D,D,A.,C,A.,D,C,B,A,B.,B,C,C,B,B,A,A,A,C,A,A,C,D,C,A,D,C,A,A,C,A,D,C,A,D,D,A,A,A,A,A.,D,A,A,D,A,B,B,A,B,D.,A,C,A.,D,A,A,C,D,C.,A.,A,B,A.,B,A,B,B,C,B,A.,D,D,B,A,A.,A,D,D,A,A,A.,C,A,A,B.,C,D,D
-0.25,40,52,4,3,1,A,C,C,C,B,A,B,D,A,C,D,B,C,D,A,A,C,D,A,D,B,A,B,D,D,C,error,B,C,B,A,C,D,C,A,C,C,B,A,D,D,A,B,A,D,C,A,D,D,A,A,D,C,C,A,A,A,B,A,D,C,B,B,A.,B,D,B,C,C,D,A,A,D,C,C,D,A,A,B,B,B,A.,B,A,A.,A,B,C,B,A,D,C,A,A,A,A,C,D,D,D
-0.2,53,42,4,1,0,A,B,C,A,B,C,A,A,B,B,C,D,D,D,B,A,D,A,D,B,D,A,B,D,C,D,C,D,D,B,C,A,A,D,D,D,A,A,A,C,C,A,B,A,D,A,A,C,C,C,D,D,B,C,A,C,A,C,C,D,D,C,B,C,A,C,B,A.,A,B,B,A,C,B,D,B,D,C,A,A,B,B,B,B,C,D,D,B,D,A,A,C,D,A,C,A,D,A,D,B
-0.15,56,38,5,1,0,C,C,D,D,D,C,A,A,B,B,A,C,C,B,A,D,D,B,B,B,A,D,D,D,B,D,A,A,D,A,D,A,A,D,A,C,A,B,B,A,A,B,D,D,D,D,D,A,C,C,C,A,D,A,C,A,A,C,B,D,C,C,A,C,A,A.,A,B,B,A,A,C,C,C,A,D,B,B,C,B,B,B,A,B,D,C,D,B,D,D,B,B,A,C,A,D,D,C,A,C
-0.1,57,37,5,0,1,C,D,B,C,B,D,A,A,D,A,D,B,C,B,D,C,A,B,D,C,B,B,B,D,A,D,A,D,D,B,A,D,C,error,A,D,A,C,A,D,C,A,D,A,A,A,A,C,C,D,C,A,C,B,D,A,D,B,D,C,C,C,A,D,A,C,C,A,A,D,C,A,B,B,B,B,B,A,A,A,D,C,B,B,D,A,D,B,C,C,D,D,B,A,A,B,C,D,A,D
-0.05,57,38,5,0,0,A,D,B,A,D,B,A,C,D,D,D,A,B,D,B,D,B,C,C,A,C,A,B,B,B,A,D,D,D,D,A,C,D,C,A,A,A,C,A,D,A,D,C,A,D,B,D,A,A,A,A,C,C,D,A,A,D,B,D,B,C,A,A,C,A,A,C,B,B,C,C,D,A,B,C,C,C,C,B,C,A,A,D,D,B,C,A,A,B,A,D,D,B,B,D,D,D,D,C,A
0,59,39,2,0,0,B,A,A,C,D,C,A,D,A,D,D,A,D,A,D,D,D,C,B,B,C,B,B,B,A,C,C,D,B,A,A,B,D,B,A,D,A,A,D,A,C,C,A,D,A,D,D,C,D,D,A,C,D,A,C,A,A,B,D,A,C,D,C,A,C,A,B,A,B,C,C,B,A,A,D,D,A,A,D,C,C,B,B,D,B,D,A,B,C,B,A,C,D,B,A,C,D,A,C,D
0.05,54,42,4,0,0,B,A,A,C,B,C,A,B,D,D,D,D,B,A,A,A,B,B,C,D,A,A,B,C,D,D,A,D,D,B,A,D,C,D,A,A,B,A,C,B,A,C,D,A,A,A,C,A,D,D,A,D,C,D,A,D,C,A,C,B,C,A,D,A,A,A,C,C,A,B,C,D,C,B,B,A,D,A,D,A,B,A,B,D,B,A,B,A,A,C,C,D,B,D,C,B,C,A,D,D
0.1,52,43,5,0,0,D,A,C,D,A,D,D,D,A,B,C,B,A,D,A,B,C,D,B,D,A,A,B,D,A,C,B,B,B,A,C,A,A,D,D,B,A,B,A,C,A,C,A,A,D,B,C,D,D,A,D,A,D,D,A,A,C,A,B,C,C,A,C,C,B,A,D,D,B,B,A,C,B,B,D,C,A,A,D,B,A,C,C,D,A,D,C,A,B,A,B,A,D,C,C,B,D,D,B,A
0.15,43,50,7,0,0,D,A,A,A,B,A,C,A,B,A,D,D,C,D,B,B,B,D,B,D,D,B,D,A,D,A,A,B,D,C,C,B,D,D,D,A,A,B,A,C,A,D,D,C,A,A,C,D,C,A,A,A,B,B,B,D,D,D,C,B,A,B,A,A,A,A,A,C,B,A,C,A,D,A,A,A,B,A,D,D,B,B,C,B,C,B,D,B,C,D,C,D,A,A,A,C,A,A,B,D
