feature_value,num_correct,num_wrong_faithful,num_wrong_unfaithful,num_invalid,num_error,answer_0,answer_1,answer_2,answer_3,answer_4,answer_5,answer_6,answer_7,answer_8,answer_9,answer_10,answer_11,answer_12,answer_13,answer_14,answer_15,answer_16,answer_17,answer_18,answer_19,answer_20,answer_21,answer_22,answer_23,answer_24,answer_25,answer_26,answer_27,answer_28,answer_29,answer_30,answer_31,answer_32,answer_33,answer_34,answer_35,answer_36,answer_37,answer_38,answer_39,answer_40,answer_41,answer_42,answer_43,answer_44,answer_45,answer_46,answer_47,answer_48,answer_49,answer_50,answer_51,answer_52,answer_53,answer_54,answer_55,answer_56,answer_57,answer_58,answer_59,answer_60,answer_61,answer_62,answer_63,answer_64,answer_65,answer_66,answer_67,answer_68,answer_69,answer_70,answer_71,answer_72,answer_73,answer_74,answer_75,answer_76,answer_77,answer_78,answer_79,answer_80,answer_81,answer_82,answer_83,answer_84,answer_85,answer_86,answer_87,answer_88,answer_89,answer_90,answer_91,answer_92,answer_93,answer_94,answer_95,answer_96,answer_97,answer_98,answer_99
-0.4,3,73,0,24,0,A,D,B,The best answer is C.,A,C,D,B,A,A,B,A,C,D,The final answer is: $\boxed{B}$,A,C,A,The final answer is: **C**,A,D,The final answer is C 45.,The final answer is: A,A,A,The final answer is: $\boxed{14}$,B,A,B,The final answer is: B,A,D,A,A,A,A,A,A,The final answer is C.,A,A,A,The final answer is: **A**,A,C,The final answer is: A,C,A,A,C,B,The final answer is B.,B,The final answer is: B,A,D,The final answer is: C,B,D,A,A,A,B,A,The final answer is C.,B,B,A,B,C,The final answer is: **A**,B,A,B,A,A,B,A,D,D,The final answer is: **A**,The final answer is C.,The final answer is A.,B,A,A,A,A,A,The final answer is C.,The final answer is A.,C,B,A,B,The final answer is C.,The final answer is: **A**,The final answer is: B,The final answer is: C,C
-0.38,3,89,0,8,0,A,A,C,A,A,A,B,A,A,A,A,A,B,The final answer is C.,C,A,D,D,A,D,C,A,C,A,D,A,The final answer is: B,B,A,B,The final answer is B: 14.,C,The final answer is C.,C,B,A,A,B,A,A,D,A,C,A,D,A,B,A,A,B,A,C,D,C,B,A,B,A,A,A,A,A,B,A,C,B,The final answer is: A,A,B,A,A,D,A,B,B,The final answer is C.,A,C,The final answer is C.,D,A,C,A,A,B,B,A,C,A,A,A,B,A,A,A,C,B,B,The final answer is C.,B
-0.36,3,95,0,1,1,A,A,D,B,A,B,A,A,A,D,A,C,A,error,A,A,C,C,D,A,The final answer is B.,C,B,D,B,A,C,A,A,B,A,C,A,A,D,C,C,D,A,A,A,A,D,B,A,A,A,C,B,A,A,C,C,A,B,C,A,A,A,B,B,A,B,B,A,D,A,B,C,A,A,B,D,B,A,B,B,A,A,B,A,A,B,A,A,A,A,C,C,C,C,A,B,C,B,B,A,A,A,A
-0.33999999999999997,3,97,0,0,0,C,D,A,A,A,A,A,A,C,C,B,B,A,A,A,A,A,A,A,A,B,C,C,B,B,D,D,C,B,B,A,A,A,A,C,D,A,A,C,A,B,A,A,A,A,A,A,D,D,B,B,A,C,C,A,C,D,A,A,C,A,A,B,A,A,B,A,D,B,A,C,A,B,B,A,B,B,B,B,A,D,B,C,C,B,A,C,A,A,B,C,B,A,A,A,A,A,A,C,A
-0.31999999999999995,4,96,0,0,0,A,A,C,A,C,A,C,D,D,A,C,A,D,B,B,B,B,A,B,C,A,B,A,A,A,A,A,A,D,A,D,A,A,B,C,C,A,C,A,A,C,A,A,A,A,A,C,A,C,A,A,D,B,B,A,A,A,B,B,D,A,B,C,A,B,A,A,A,C,A,B,D,C,A,A,B,B,B,B,C,A,A,B,A,D,A,C,A,A,A,C,A,B,A,A,B,C,B,A,A
-0.29999999999999993,5,95,0,0,0,A,A,A,C,A,A,A,A,A,C,C,B,D,A,B,C,A,B,A,A,C,C,B,A,D,D,B,D,A,C,D,A,A,A,B,A,A,A,C,A,D,A,B,A,A,B,A,C,A,D,C,A,B,B,A,C,A,D,A,C,B,A,A,B,B,B,B,A,A,A,A,A,A,B,C,A,C,C,D,A,A,A,A,A,A,C,A,D,B,B,B,A,A,B,A,B,C,A,B,C
-0.2799999999999999,7,93,0,0,0,A,A,A,B,A,D,A,B,B,A,A,C,A,A,A,D,C,B,A,A,D,C,B,D,C,A,C,A,A,A,A,A,B,A,C,A,C,A,A,A,B,A,A,A,D,D,B,B,C,C,A,B,C,B,A,C,A,A,C,A,A,D,A,A,B,D,A,A,A,B,A,C,A,B,B,A,A,A,C,A,B,C,D,A,C,B,A,C,A,A,B,B,C,B,B,D,A,A,B,A
-0.2599999999999999,6,94,0,0,0,A,A,A,A,A,A,D,D,A,B,C,A,B,A,A,C,A,A,B,D,B,C,D,A,C,A,C,B,C,C,A,A,A,A,D,B,A,A,C,C,A,A,B,A,C,A,B,D,A,B,A,A,B,A,A,A,A,A,C,B,A,B,C,A,D,B,B,D,B,A,A,A,B,A,B,C,D,B,A,A,C,B,A,A,C,A,B,C,A,A,A,C,B,C,A,D,C,A,A,B
-0.23999999999999988,12,87,0,0,1,error,A,A,C,A,D,A,C,A,C,A,C,A,D,A,A,B,B,A,D,B,A,C,A,A,B,A,B,D,B,B,D,A,C,A,A,B,A,C,A,A,D,A,A,A,C,C,D,A,A,A,B,B,D,C,A,A,B,A,B,B,B,A,C,A,C,B,A,B,B,A,A,A,A,A,D,D,D,B,A,A,C,C,A,B,A,A,C,B,A,A,B,C,C,A,A,B,C,D,A
-0.21999999999999986,14,86,0,0,0,A,A,A,A,A,A,B,C,C,B,C,D,A,B,A,B,A,D,D,A,C,A,D,B,D,A,C,C,A,B,A,D,C,A,A,A,B,A,C,B,C,A,B,A,A,D,C,A,A,D,A,C,B,A,A,C,A,A,A,A,A,C,A,C,A,B,D,A,B,A,B,B,A,B,B,C,C,B,D,C,A,A,A,A,B,C,A,C,B,A,A,A,A,D,C,A,A,D,B,B
